timestep_time;vehicle_id;vehicle_x;vehicle_y;vehicle_z
9.300;f_1.83;75.56;0.00;12.97
9.300;f_1.84;162.07;0.00;12.97
9.400;f_0.0;83.48;-0.04;9.47
9.400;f_1.82;-22.71;0.00;12.97
9.400;f_1.83;74.33;0.00;12.97
9.400;f_1.84;161.10;0.00;12.97
9.500;f_0.0;83.63;-0.04;9.47
9.500;f_1.82;-24.00;0.00;12.97
9.500;f_1.83;73.10;0.00;12.97
9.500;f_1.84;160.11;0.00;12.97
9.600;f_0.0;83.78;-0.04;9.47
9.600;f_1.82;-25.30;0.00;12.97
9.600;f_1.83;71.87;0.00;12.97
9.600;f_1.84;159.10;0.00;12.97
9.700;f_0.0;83.93;-0.04;9.47
9.700;f_1.82;-26.59;0.00;12.97
9.700;f_1.83;70.63;0.00;12.97
9.700;f_1.84;158.07;0.00;12.97
9.800;f_0.0;84.07;-0.04;9.47
9.800;f_1.82;-27.89;0.00;12.97
9.800;f_1.83;69.40;0.00;12.97
9.800;f_1.84;157.02;0.00;12.97
9.900;f_0.0;84.22;-0.04;9.47
9.900;f_1.82;-29.18;0.00;12.97
9.900;f_1.83;68.16;0.00;12.97
9.900;f_1.84;155.95;0.00;12.97
10.000;f_0.0;84.37;-0.04;9.47
10.000;f_1.82;-30.48;0.00;12.97
10.000;f_1.83;66.93;0.00;12.97
10.000;f_1.84;154.86;0.00;12.97
10.100;f_0.0;84.51;-0.04;9.46
10.100;f_1.82;-31.77;0.00;12.97
10.100;f_1.83;65.70;0.00;12.97
10.100;f_1.84;153.74;0.00;12.97
10.200;f_0.0;84.66;-0.04;9.46
10.200;f_1.82;-33.07;0.00;12.97
10.200;f_1.83;64.47;0.00;12.97
10.200;f_1.84;152.61;0.00;12.97
10.300;f_0.0;84.81;-0.04;9.46
10.300;f_1.82;-34.36;0.00;12.97
10.300;f_1.83;63.23;0.00;12.97
10.300;f_1.84;151.46;0.00;12.97
10.400;f_0.0;84.95;-0.04;9.46
10.400;f_1.82;-35.66;0.00;12.97
10.400;f_1.83;61.99;0.00;12.97
10.400;f_1.84;150.29;0.00;12.97
10.500;f_0.0;85.10;-0.04;9.46
10.500;f_1.82;-36.95;0.00;12.97
10.500;f_1.83;60.75;0.00;12.97
10.500;f_1.84;149.10;0.00;12.97
10.600;f_0.0;85.25;-0.04;9.46
10.600;f_1.82;-38.25;0.00;12.97
10.600;f_1.83;59.52;0.00;12.97
10.600;f_1.84;147.89;0.00;12.97
10.700;f_0.0;85.39;-0.04;9.46
10.700;f_1.82;-39.54;0.00;12.97
10.700;f_1.83;58.28;0.00;12.97
10.700;f_1.84;146.67;0.00;12.97
10.800;f_0.0;85.54;-0.04;9.46
10.800;f_1.82;-40.83;0.00;12.97
10.800;f_1.83;57.04;0.00;12.97
10.800;f_1.84;145.42;0.00;12.97
10.900;f_0.0;85.68;-0.04;9.46
10.900;f_1.82;-42.13;0.00;12.97
10.900;f_1.83;55.81;0.00;12.97
10.900;f_1.84;144.15;0.00;12.97
